n,t_euler_ns,t_hamilton_avg_ns
100,1999000,10000
200,10546000,17510
300,26519000,25005
400,48042000,29995
500,75382000,37530
600,109675000,45050
700,155001000,52515
800,206962000,57515
900,265307000,62520
1000,336980000,72585
1100,413938000,83405
1200,505405000,87560
1300,595537000,95055
1400,703798000,105895
1500,819902000,113480
